college,cohort_year,analysis_included,complete_case,cohort_size,log_cohort_size,course_success,avg_successful_units,persistence,completed_30_units,math_english,transfer_4yr
Allan Hancock College,15-16,True,True,2614.0,7.869019376499023,0.65819,10.98508,0.67521,0.08493,0.07804,0.12012
American River College,15-16,True,True,7068.0,8.863474306170954,0.71609,7.4689,0.65096,0.02844,0.03551,0.08291
Antelope Valley College,15-16,True,True,3661.0,8.205764725234456,0.6607,9.58741,0.69926,0.05053,0.05163,0.11199
Bakersfield College,15-16,True,True,5732.0,8.653994232908383,0.59357,8.43074,0.67045,0.03402,0.02756,0.11985
Barstow College,15-16,True,True,892.0,6.794586580876499,0.74709,12.47309,0.63341,0.08296,0.02242,0.17265
Berkeley City College,15-16,True,True,1649.0,7.408530566894626,0.62962,9.17495,0.55246,0.04488,0.08975,0.16192
Butte College,15-16,True,True,2948.0,7.989221408815276,0.65455,13.0385,0.73474,0.08209,0.08718,0.17503
Cabrillo College,15-16,True,True,2489.0,7.820037989458753,0.70381,11.77219,0.69064,0.0691,0.08116,0.16111
Canada College,15-16,True,True,1371.0,7.22402480828583,0.6731,8.30963,0.60029,0.062,0.09993,0.13275
Cerritos College,15-16,True,True,5247.0,8.565602330623925,0.67019,9.84153,0.73833,0.0425,0.02573,0.10863
Cerro Coso Community College,15-16,True,True,1123.0,7.024649030453636,0.63409,7.90695,0.47818,0.04541,0.02048,0.12378
Chabot College,15-16,True,True,3487.0,8.15708378502887,0.65827,9.5162,0.67766,0.05965,0.06711,0.15457
Chaffey College,15-16,True,True,6166.0,8.726967774991493,0.65188,10.41372,0.7097,0.04946,0.03665,0.10996
Citrus College,15-16,True,True,3369.0,8.122668023346407,0.67597,12.49199,0.72603,0.10181,0.06471,0.1683
City College of San Francisco,15-16,True,True,5086.0,8.534443544822764,0.72242,9.50487,0.60657,0.05171,0.04345,0.13272
Clovis Community College,15-16,True,True,1829.0,7.512071245835466,0.65736,10.23291,0.63532,0.04757,0.11482,0.19574
Coalinga College,15-16,True,True,1090.0,6.994849985833071,0.67807,8.92844,0.61927,0.05046,0.02385,0.15229
Coastline Community College,15-16,True,True,3064.0,8.027802848370312,0.58196,5.74331,0.45235,0.01501,0.01501,0.03884
College of Alameda,15-16,True,True,1292.0,7.164720378771857,0.66791,8.09675,0.55263,0.03328,0.07972,0.17802
College of Marin,15-16,True,True,1227.0,7.113142108707088,0.67859,8.04605,0.5868,0.0383,0.04564,0.12388
College of San Mateo,15-16,True,True,2296.0,7.739359202689098,0.69801,12.27787,0.71777,0.0993,0.12195,0.23127
College of the Canyons,15-16,True,True,4333.0,8.374246182096304,0.72854,15.16102,0.74267,0.14678,0.08401,0.22063
College of the Desert,15-16,True,True,2831.0,7.94873845481361,0.66219,9.94242,0.72625,0.0325,0.02367,0.10915
College of the Redwoods,15-16,True,True,1113.0,7.01571242048723,0.67701,12.43486,0.65588,0.07457,0.0584,0.14016
College of the Sequoias,15-16,True,True,3392.0,8.129469764784231,0.67025,12.63414,0.69959,0.09287,0.05631,0.15419
College of the Siskiyous,15-16,True,True,479.0,6.173786103901937,0.72778,12.39248,0.62839,0.10021,0.06889,0.17537
Columbia College,15-16,True,True,793.0,6.677083461247136,0.68388,12.07818,0.6343,0.09079,0.06179,0.11223
Compton College,15-16,True,True,1425.0,7.262628600974241,0.62569,8.73123,0.56702,0.04772,0.02667,0.0793
Contra Costa College,15-16,True,True,1693.0,7.434847875211999,0.70225,11.75773,0.57354,0.10868,0.05966,0.15003
Copper Mountain College,15-16,True,True,575.0,6.3561076606958915,0.6702,7.58868,0.6313,0.02261,0.05913,0.12
Cosumnes River College,15-16,True,True,3378.0,8.12533508671429,0.62613,9.39153,0.66755,0.04707,0.04263,0.13914
Crafton Hills College,15-16,True,True,1534.0,7.336285660021297,0.70101,10.99006,0.70991,0.05932,0.06323,0.1545
Cuesta College,15-16,True,True,2319.0,7.749322464660356,0.67656,12.53752,0.68047,0.09013,0.11514,0.18887
Cuyamaca College,15-16,True,True,2264.0,7.725330037917135,0.7428,8.10711,0.64841,0.02694,0.08127,0.15857
Cypress College,15-16,True,True,3755.0,8.231109840328154,0.6981,10.33462,0.73901,0.04501,0.05806,0.15473
De Anza College,15-16,True,False,5933.0,8.688453800850768,0.78532,nan,0.78898,nan,0.15085,0.25518
Diablo Valley College,15-16,True,True,5533.0,8.618666160346871,0.73061,15.00063,0.70884,0.16609,0.12308,0.242
East Los Angeles College,15-16,True,True,6247.0,8.740016691519521,0.64451,10.19433,0.62622,0.06595,0.02737,0.07444
El Camino College,15-16,True,True,5539.0,8.61974977974133,0.67472,12.49513,0.74201,0.09893,0.09063,0.167
